Flight No.,Date and time (UTC),"Version, booster[i]",Launch site,Payload[j],Payload mass,Orbit,Customer,Launch outcome,Booster landing
355,"July 27, 2024 05:45[142]",F9 B5 B1069‑17,"Kennedy, LC‑39A",Starlink: Group 10-9 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
355,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.
356,"July 28, 2024 05:09[143]",F9 B5 B1077‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-4 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
356,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.
357,"July 28, 2024 09:22[143]",F9 B5 B1071‑17,"Vandenberg, SLC‑4E",Starlink: Group 9-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (OCISLY)
357,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
358,"August 2, 2024 05:01[144]",F9 B5 B1078‑12,"Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
358,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
359,"August 4, 2024 07:24[145]",F9 B5 B1082‑6,"Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
359,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.
360,"August 4, 2024 15:02[146]",F9 B5 B1080‑10,"Cape Canaveral, SLC‑40",CRS NG-21,"3,857 kg (8,503 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1)
360,"Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements."
361,"August 10, 2024 12:50[147]",F9 B5 B1067‑21,"Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
361,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
362,"August 12, 2024 02:02[148]",F9 B5 B1061‑22,"Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),"~7,230 kg (15,940 lb)[149]",Molniya,Space Norway,Success,Success (OCISLY)
362,"Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time."
363,"August 12, 2024 10:37[154]",F9 B5 B1073‑17,"Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
363,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
364,"August 15, 2024 13:00[155]",F9 B5 B1076‑16,"Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1)
364,Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156]
365,"August 16, 2024 18:56[157]",F9 B5 B1075‑12,"Vandenberg, SLC-4E",Transporter-11 (116 payload smallsat rideshare),Unknown[k],SSO,Various,Success,Success (LZ‑4)
365,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.
366,"August 20, 2024 13:20[158]",F9 B5 B1085‑1,"Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
366,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
367,"August 28, 2024 07:48[159]",F9 B5 B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG)
367,"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]"
368,"August 31, 2024 07:43[164]",F9 B5 B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
368,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
369,"August 31, 2024 08:48[165]",F9 B5 B1081‑9,"Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
369,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight."
370,"September 5, 2024 15:33[166]",F9 B5 B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
370,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
371,"September 6, 2024 03:20[167]",F9 B5 B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY)
